output_dir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z
tb_logdir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/tb
pre_registration_manifest_sha256=28b31405161bd333c9d7e7524717935bf819b97700cb1e8965214a0255a7678e
bc_checkpoint_sha256=40c70226bbae24e2bce4c00878fd31173337fb4e411b7f45107a71198f5719e0
bc_dataset_sha256=50e59d2f7886dcc00f3c2405ae449cdbaa879b1b5be79b7dcd2993ce65bb5145
============================================================
WATCHDOG REGISTRY (V25 PPO training):
  - Train Loss Explosion: metric=train_loss, threshold=1000000.0, when=>
  - Grad Norm Blowup: metric=grad_norm, threshold=10000.0, when=>
  - Val Overfit: metric=val_overfit_ratio, threshold=5.0, when=>
============================================================
[INFO][V25] phase=0 (CRITIC_WARMUP) entered cleanly
loaded_actor_parameters=3167235
[INFO][V25] algo.learn entry reached
wandb: WARNING The anonymous setting has no effect and will be removed in a future version.
wandb: Tracking run with wandb version 0.26.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/wandb/wandb/offline-run-20260502_170345-ko56w3hs
wandb: WARNING URL not available in offline run
wandb_status=initialized mode=offline url=unavailable
[V25 PPO] phase=0 rollout/transitions=4096 safety/h_hard_min=4.47195 train/value_loss=1557.52 train/grad_norm=433.742
[V25 PPO] phase=0 rollout/transitions=8192 safety/h_hard_min=4.47014 train/value_loss=1699.11 train/grad_norm=458.9
[V25 PPO] phase=0 rollout/transitions=12288 safety/h_hard_min=4.47103 train/value_loss=1666.85 train/grad_norm=449.242
[V25 PPO] phase=0 rollout/transitions=16384 safety/h_hard_min=4.47088 train/value_loss=1569.71 train/grad_norm=434.202
[V25 PPO] phase=0 rollout/transitions=20480 safety/h_hard_min=4.47357 train/value_loss=1631.55 train/grad_norm=445.547
[V25 PPO] phase=0 rollout/transitions=24576 safety/h_hard_min=4.47329 train/value_loss=1627.95 train/grad_norm=447.623
[V25 PPO] phase=0 rollout/transitions=28672 safety/h_hard_min=4.47063 train/value_loss=1563.73 train/grad_norm=432.265
[V25 PPO] phase=0 rollout/transitions=32768 safety/h_hard_min=4.4722 train/value_loss=1506.97 train/grad_norm=430.585
[V25 PPO] phase=0 rollout/transitions=36864 safety/h_hard_min=4.47108 train/value_loss=1500.13 train/grad_norm=424.639
[V25 PPO] phase=0 rollout/transitions=40960 safety/h_hard_min=4.47061 train/value_loss=1569.26 train/grad_norm=436.648
[V25 PPO] phase=0 rollout/transitions=45056 safety/h_hard_min=4.47159 train/value_loss=1453.69 train/grad_norm=416.491
[V25 PPO] phase=0 rollout/transitions=49152 safety/h_hard_min=4.47025 train/value_loss=1614.28 train/grad_norm=445.71
[V25 PPO] phase=0 rollout/transitions=53248 safety/h_hard_min=4.47186 train/value_loss=1416.18 train/grad_norm=422.911
[V25 PPO] phase=0 rollout/transitions=57344 safety/h_hard_min=4.47083 train/value_loss=1467.54 train/grad_norm=417.886
